,0
CLF,-0.49323308270676686
CPIAUCSL,-0.437593984962406
WM2NS,-0.31729323308270674
DGS10,-0.19248120300751878
PCEPI,-0.4616541353383458
EFFR,0.239246986456662
PPIACO,-0.4781954887218045
FX_EURUSD_daily_volatility,0.5172932330827067
UNRATE,0.2045112781954887
CRBL.L,-0.6285714285714286
VIX,-0.29774436090225564
WALCL,-0.3684210526315789
HOUST,0.07969924812030074
INDPRO,-0.11278195488721804
RSXFS,-0.28421052631578947
GCF,0.2646616541353383
HOUST_deseas,-0.060150375939849614
INDPRO_deseas,-0.06165413533834586
RSXFS_deseas,-0.07518796992481201
GCF_deseas,0.10526315789473684
CLF_deseas,-0.5293233082706766
UNRATE_deseas,0.1518796992481203
CRBL.L_deseas,-0.5894736842105263
PPIACO_deseas,-0.5323308270676691
